#feid	gene_name	gene_id	pub_ref	pub_desc	organism_id	assay	molecule_assayed	stage	sex	anatomy	expression_uniquename	anatomy_desc	anatomy_id	start_stage_name	start_stage_id	end_stage_name	end_stage_id
125696	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 8	not specified	posterior endoderm	FBex0016918	posterior endoderm	FBbt:00005560	embryonic stage 7	FBdv:00005319	embryonic stage 8	FBdv:00005322
125697	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 8	not specified	trunk mesoderm	FBex0021134	trunk mesoderm	FBbt:00000128	embryonic stage 7	FBdv:00005319	embryonic stage 8	FBdv:00005322
125698	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 8	not specified	ventral ectoderm	FBex0021076	ventral ectoderm	FBbt:00005558	embryonic stage 7	FBdv:00005319	embryonic stage 8	FBdv:00005322
125699	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	antennal primordium	FBex0021099	antennal primordium	FBbt:00005510	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125700	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	central brain primordium	FBex0021100	central brain primordium	FBbt:00005542	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125701	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	visual primordium	FBex0021101	visual primordium	FBbt:00001059	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125702	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	dorsal head epidermis primordium	FBex0021080	dorsal head epidermis primordium	FBbt:00015247	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125703	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	lateral head epidermis primordium	FBex0021102	lateral head epidermis primordium	FBbt:00014203	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125704	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	ventral head epidermis primordium	FBex0021103	ventral head epidermis primordium	FBbt:00015255	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125705	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	inclusive hindgut primordium	FBex0003441	inclusive hindgut primordium	FBbt:00005523	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125706	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	organism	FBex0021187	organism	FBbt:00000001	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125707	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	organism	FBex0021119	organism	FBbt:00000001	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125708	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	organism	FBex0021112	organism	FBbt:00000001	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125709	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	trunk mesoderm	FBex0021138	trunk mesoderm	FBbt:00000128	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125710	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	ventral nerve cord primordium	FBex0021145	ventral nerve cord primordium	FBbt:00005554	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125711	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	central brain primordium	FBex0021104	central brain primordium	FBbt:00005542	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125712	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	embryonic central brain glial cell	FBex0021146	embryonic central brain glial cell	FBbt:00005663	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125713	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	embryonic central brain surface glial cell	FBex0021269	embryonic central brain surface glial cell	FBbt:00005664	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125714	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	larval lateral VNC glial cell	FBex0021148	larval lateral VNC glial cell	FBbt:00005673	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125715	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	organism	FBex0013438	organism	FBbt:00000001	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125716	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	organism	FBex0021124	organism	FBbt:00000001	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125717	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	ventral nerve cord primordium	FBex0017681	ventral nerve cord primordium	FBbt:00005554	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125718	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic brain	FBex0018564	embryonic brain	FBbt:00001060	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125719	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic central brain surface glial cell	FBex0021173	embryonic central brain surface glial cell	FBbt:00005664	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125720	scra	FBgn0261385	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	larval ventral nerve cord	FBex0010025	larval ventral nerve cord	FBbt:00001102	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125721	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	foregut primordium	FBex0015901	foregut primordium	FBbt:00005535	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125722	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	salivary gland body primordium	FBex0021114	salivary gland body primordium	FBbt:00005512	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125723	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	tracheal primordium	FBex0021201	tracheal primordium	FBbt:00005037	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125724	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	Bolwig organ	FBex0021236	Bolwig organ	FBbt:00005805	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125725	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic dorsal apodeme	FBex0021158	embryonic dorsal apodeme	FBbt:00005745	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125726	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic dorsal epidermis	FBex0021090	embryonic dorsal epidermis	FBbt:00005744	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125727	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic epipharynx	FBex0021159	embryonic epipharynx	FBbt:00005614	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125728	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic foregut	FBex0021161	embryonic foregut	FBbt:00005606	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125729	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic head epidermis	FBex0021091	embryonic head epidermis	FBbt:00005741	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125730	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic hindgut	FBex0021139	embryonic hindgut	FBbt:00005630	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125731	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic hypopharynx	FBex0021162	embryonic hypopharynx	FBbt:00005613	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125732	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic proventriculus	FBex0021142	embryonic proventriculus	FBbt:00005607	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125733	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic proventriculus inner layer	FBex0021204	embryonic proventriculus inner layer	FBbt:00005608	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125734	scrib	FBgn0263289	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic stomatogastric nervous system	FBex0021210	embryonic stomatogastric nervous system	FBbt:00001069	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125735	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	central brain primordium	FBex0021100	central brain primordium	FBbt:00005542	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125736	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	ventral nerve cord primordium	FBex0021145	ventral nerve cord primordium	FBbt:00005554	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125737	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	central brain primordium	FBex0021104	central brain primordium	FBbt:00005542	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125738	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	dorsal sensory complex primordium	FBex0021283	dorsal sensory complex primordium	FBbt:00005553	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125739	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	embryonic central brain neuron	FBex0021172	embryonic central brain neuron	FBbt:00005665	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125740	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	lateral cord neuron	FBex0021149	lateral cord neuron	FBbt:00005675	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125741	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	ventral nerve cord primordium	FBex0017681	ventral nerve cord primordium	FBbt:00005554	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125742	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	ventral sensory complex anlage	FBex0021291	ventral sensory complex anlage	FBbt:00007047	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125743	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	dorsal sensory complex proper primordium	FBex0021193	dorsal sensory complex proper primordium	FBbt:00016023	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125744	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic brain	FBex0018564	embryonic brain	FBbt:00001060	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125745	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic head sensory system	FBex0021181	embryonic head sensory system	FBbt:00005828	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125746	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	larval nervous system	FBex0021109	larval nervous system	FBbt:00001911	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125747	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	sensory nervous system primordium	FBex0021184	sensory nervous system primordium	FBbt:00005551	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125748	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	larval ventral nerve cord	FBex0010025	larval ventral nerve cord	FBbt:00001102	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125749	scrt	FBgn0004880	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	ventral sensory complex primordium	FBex0021185	ventral sensory complex primordium	FBbt:00005552	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125750	scu	FBgn0021765	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 8	not specified	primordial germ cell	FBex0021196	primordial germ cell	FBbt:00000092	embryonic stage 7	FBdv:00005319	embryonic stage 8	FBdv:00005322
125751	scu	FBgn0021765	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	germline cell	FBex0021216	germline cell	FBbt:00004860	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125752	scu	FBgn0021765	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic midgut chamber	FBex0021251	embryonic midgut chamber	FBbt:00005628	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125753	scu	FBgn0021765	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic/larval midgut	FBex0021073	embryonic/larval midgut	FBbt:00001882	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125754	scu	FBgn0021765	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	germline cell	FBex0021097	germline cell	FBbt:00004860	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125755	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	antennal primordium	FBex0021099	antennal primordium	FBbt:00005510	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125756	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	clypeo-labral primordium	FBex0021244	clypeo-labral primordium	FBbt:00005538	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125757	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	dorsal ectoderm	FBex0021078	dorsal ectoderm	FBbt:00000112	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125758	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	antennal primordium	FBex0021218	antennal primordium	FBbt:00005510	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125759	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	Bolwig organ primordium	FBex0021256	Bolwig organ primordium	FBbt:00005830	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125760	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	dorsal sensory complex primordium	FBex0021283	dorsal sensory complex primordium	FBbt:00005553	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125761	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	posterior pharyngeal sense organ primordium	FBex0021317	posterior pharyngeal sense organ primordium	FBbt:00016001	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125762	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	labial sensory complex primordium	FBex0021284	labial sensory complex primordium	FBbt:00005545	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125763	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	labral sensory complex primordium	FBex0021255	labral sensory complex primordium	FBbt:00005546	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125764	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	maxillary sensory complex primordium	FBex0021105	maxillary sensory complex primordium	FBbt:00005544	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125765	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	salivary gland body primordium	FBex0021114	salivary gland body primordium	FBbt:00005512	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125766	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	ventral sensory complex anlage	FBex0021291	ventral sensory complex anlage	FBbt:00007047	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125767	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	Bolwig organ	FBex0021236	Bolwig organ	FBbt:00005805	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125768	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	dorsal sensory complex proper primordium	FBex0021193	dorsal sensory complex proper primordium	FBbt:00016023	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125769	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic antennal sense organ	FBex0021180	embryonic antennal sense organ	FBbt:00005568	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125770	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic labial sensory complex	FBex0021182	embryonic labial sensory complex	FBbt:00005619	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125771	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic maxillary sensory complex	FBex0021108	embryonic maxillary sensory complex	FBbt:00005618	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125772	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic/larval salivary gland	FBex0021116	embryonic/larval salivary gland	FBbt:00001878	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125773	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	posterior pharyngeal sense organ	FBex0021318	posterior pharyngeal sense organ	FBbt:00002665	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125774	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	larval labral sensory complex	FBex0021183	larval labral sensory complex	FBbt:00005617	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125775	sens	FBgn0002573	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	ventral sensory complex primordium	FBex0021185	ventral sensory complex primordium	FBbt:00005552	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125776	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 8	not specified	amnioserosa	FBex0005692	amnioserosa	FBbt:00000095	embryonic stage 7	FBdv:00005319	embryonic stage 8	FBdv:00005322
125777	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 8	not specified	organism	FBex0021129	organism	FBbt:00000001	embryonic stage 7	FBdv:00005319	embryonic stage 8	FBdv:00005322
125778	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	amnioserosa	FBex0021197	amnioserosa	FBbt:00000095	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125779	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	head mesoderm	FBex0021136	head mesoderm	FBbt:00000127	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125780	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 9	not specified	organism	FBex0021130	organism	FBbt:00000001	embryonic stage 9	FBdv:00005323	embryonic stage 10	FBdv:00005324
125781	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	amnioserosa	FBex0021178	amnioserosa	FBbt:00000095	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125782	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	organism	FBex0021131	organism	FBbt:00000001	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125783	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	plasmatocyte primordium	FBex0021156	plasmatocyte primordium	FBbt:00017006	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125784	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 12	not specified	procrystal cell	FBex0021169	procrystal cell	FBbt:00001689	embryonic stage 11	FBdv:00005325	embryonic stage 12	FBdv:00005327
125785	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic precursor of adult hindgut	FBex0021191	embryonic precursor of adult hindgut	FBbt:00005646	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125786	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	adult midgut progenitor cell	FBex0021225	adult midgut progenitor cell	FBbt:00000449	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125787	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	Bolwig organ	FBex0021236	Bolwig organ	FBbt:00005805	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125788	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic/larval crystal cell	FBex0021170	embryonic/larval crystal cell	FBbt:00001690	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125789	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic foregut	FBex0021161	embryonic foregut	FBbt:00005606	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125790	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic head epidermis	FBex0021091	embryonic head epidermis	FBbt:00005741	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125791	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic head sensory system	FBex0021181	embryonic head sensory system	FBbt:00005828	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125792	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic hindgut	FBex0021139	embryonic hindgut	FBbt:00005630	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125793	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic Malpighian tubule tip cell	FBex0021259	embryonic Malpighian tubule tip cell	FBbt:00005643	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
125794	sgl	FBgn0261445	FBrf0219073	Fisher et al., 2012, BDGP insitu homepage	1	in situ	RNA	embryonic stage 16	not specified	embryonic/larval midgut	FBex0021073	embryonic/larval midgut	FBbt:00001882	embryonic stage 13	FBdv:00005328	embryonic stage 16	FBdv:00005334
