libraryId	experimentId	speciesId
SRX1464568	SRP067001	9913
SRX1464569	SRP067001	9913
SRX1464570	SRP067001	9913
SRX1464571	SRP067001	9913
SRX1464572	SRP067001	9913
SRX1464573	SRP067001	9913
SRX1464574	SRP067001	9913
SRX1464575	SRP067001	9913
SRX1464576	SRP067001	9913
SRX1464577	SRP067001	9913
SRX1464578	SRP067001	9913
SRX1464579	SRP067001	9913
SRX1464580	SRP067001	9913
SRX1464581	SRP067001	9913
SRX1464582	SRP067001	9913
SRX1464583	SRP067001	9913
SRX1464584	SRP067001	9913
SRX1464585	SRP067001	9913
SRX1464586	SRP067001	9913
SRX1464587	SRP067001	9913
SRX1464588	SRP067001	9913
SRX1464589	SRP067001	9913
SRX1464590	SRP067001	9913
SRX1464591	SRP067001	9913
SRX1464592	SRP067001	9913
SRX1464593	SRP067001	9913
SRX1464594	SRP067001	9913
SRX1464595	SRP067001	9913
SRX1464596	SRP067001	9913
SRX1464597	SRP067001	9913
SRX1464598	SRP067001	9913
SRX1464599	SRP067001	9913
SRX1464600	SRP067001	9913
SRX1464601	SRP067001	9913
SRX1464602	SRP067001	9913
SRX1464603	SRP067001	9913
SRX1464604	SRP067001	9913
SRX1464605	SRP067001	9913
SRX1464606	SRP067001	9913
SRX1464607	SRP067001	9913
SRX1464608	SRP067001	9913
SRX1464609	SRP067001	9913
SRX1464610	SRP067001	9913
SRX1464611	SRP067001	9913
SRX1464612	SRP067001	9913
SRX1464613	SRP067001	9913
SRX1464614	SRP067001	9913
SRX1464615	SRP067001	9913
SRX1464616	SRP067001	9913
SRX1464617	SRP067001	9913
SRX1464618	SRP067001	9913
SRX1464619	SRP067001	9913
SRX1464620	SRP067001	9913
SRX1464621	SRP067001	9913
SRX1464622	SRP067001	9913
SRX1464623	SRP067001	9913
SRX1464624	SRP067001	9913
SRX1464625	SRP067001	9913
SRX1464626	SRP067001	9913
SRX1464627	SRP067001	9913
SRX1464628	SRP067001	9913
SRX1464629	SRP067001	9913
SRX1464630	SRP067001	9913
