libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	pValueCutoff	meanIntergenic	sdIntergenic	speciesId
SRX5543958	0.244207	52.2804244750508	18524	35432	71.9003288407207	15524	21591	4.60620661962944	803	17433	0.05	0.0370158968650084	3.14872771465451	9544
SRX5543959	0.285889000502456	51.9699706480018	18414	35432	71.5205409661433	15442	21591	4.41691045717891	770	17433	0.05	0.0444930654419733	3.09826841635836	9544
SRX5543960	0.219615	50.9962745540754	18069	35432	71.1917002454727	15371	21591	4.45132794126083	776	17433	0.05	0.0321848994856155	3.21247179104402	9544
SRX5543961	0.242395	51.5127568299842	18252	35432	71.3074892316243	15396	21591	4.5431078988126	792	17433	0.05	0.0355951303492066	3.2096286543907	9544
SRX5543962	0.176517	52.0123052607812	18429	35432	72.1133805752397	15570	21591	4.58899787758848	800	17433	0.05	0.0258396296864833	3.21582378726839	9544
SRX5543963	0.277204	53.2766990291262	18877	35432	73.1184289750359	15787	21591	4.42838295187288	772	17433	0.05	0.043605255447732	3.07844361030131	9544
SRX5543964	0.230531	52.7630390607361	18695	35432	72.9794821916539	15757	21591	4.47427293064877	780	17433	0.05	0.0352633258470647	3.13016823801779	9544
SRX5543965	0.22134	52.5316098442086	18613	35432	72.4978000092631	15653	21591	4.33086674697413	755	17433	0.05	0.0331245520352122	3.17321928806039	9544
SRX5543966	0.211124	53.2908105667194	18882	35432	73.2203232828493	15809	21591	4.37102047840303	762	17433	0.05	0.0322671040387437	3.13294782396321	9544
SRX5543967	0.237019	53.8637389930007	19085	35432	73.5121115279515	15872	21591	4.43411919921987	773	17433	0.05	0.037973138310401	3.04431535960444	9544
SRX5543968	0.1889	53.3895913298713	18917	35432	73.6973739057941	15912	21591	4.23908678942236	739	17433	0.05	0.0292563133059988	3.1076393640826	9544
SRX5543969	0.128094	53.527884398284	18966	35432	74.2716872771062	16036	21591	4.41117420983193	769	17433	0.05	0.0193178666402909	3.15684645513568	9544
SRX5543970	0.179244	55.1281327613457	19533	35432	75.5036820897596	16302	21591	4.15304307921758	724	17433	0.05	0.0275200683390737	3.12425650897048	9544
SRX5543971	0.322831	54.6934974034771	19379	35432	73.692742346348	15911	21591	4.31365800493317	752	17433	0.05	0.0510658067400719	3.06739760018817	9544
SRX5543972	0.255866	53.3500790246105	18903	35432	72.6228521143069	15680	21591	4.382492973097	764	17433	0.05	0.0390083349582764	3.13699349984901	9544
SRX5543973	0.213372	53.527884398284	18966	35432	72.7571673382428	15709	21591	4.61194286697642	804	17433	0.05	0.0330502845190566	3.10720241035385	9544
SRX5543974	0.245671	53.9230074508918	19106	35432	73.2481126395257	15815	21591	4.55458039350657	794	17433	0.05	0.0403515298515244	2.99864412074692	9544
SRX5543975	0.201552	53.6802890042899	19020	35432	73.4472696957065	15858	21591	4.61767911432341	805	17433	0.05	0.0316523696851927	3.08110040641958	9544
SRX5543976	0.264818	53.7423797696997	19042	35432	72.7340095410125	15704	21591	4.61194286697642	804	17433	0.05	0.0416065196438383	3.0800554918984	9544
SRX5543977	0.223692	53.7423797696997	19042	35432	73.2759019962021	15821	21591	4.54884414615958	793	17433	0.05	0.0363121635178067	3.01934864944298	9544
SRX5543978	0.21869	53.8411605328517	19077	35432	73.3036913528785	15827	21591	4.57178913554753	797	17433	0.05	0.0347942244649179	3.05627330510791	9544
SRX5543979	0.226412	53.2682321065703	18874	35432	72.8081144921495	15720	21591	4.49148167268973	783	17433	0.05	0.0347254121385046	3.12401972480046	9544
SRX5543980	0.20951	52.8138405960714	18713	35432	72.9563243944236	15752	21591	4.52016290942465	788	17433	0.05	0.032541566531569	3.10228365498018	9544
SRX5543981	0.22225	53.0904267328968	18811	35432	72.6923255059979	15695	21591	4.39396546779097	766	17433	0.05	0.0339064699297317	3.13590130444079	9544
SRX5543982	0.150467	52.4751636938361	18593	35432	73.1786392478347	15800	21591	4.74387655595709	827	17433	0.05	0.0221374532434404	3.20620062553484	9544
SRX5543983	0.235901	53.3670128697223	18909	35432	72.9285350377472	15746	21591	4.37102047840303	762	17433	0.05	0.0373630266362563	3.06568378292273	9544
SRX5543984	0.182965	52.884398284037	18738	35432	72.8961141216247	15739	21591	4.56605288820054	796	17433	0.05	0.0283125840453062	3.10908185702494	9544
SRX5543985	0.217345	52.8053736735155	18710	35432	72.70158862489	15697	21591	4.29644926289222	749	17433	0.05	0.0331074400437674	3.13846226910123	9544
