libraryId	reads	min_read_size	max_read_size	number_aligned	number_unique_aligned	prop_aligned	prop_unique_aligned	number_targets	start_time	kallisto_version
SRX1482948	8140862	76	76	7274651	388208	89.4	4.8	37267	Tue Feb  6 16:58:32 2024	0.46.0
SRX1482949	5570331	76	76	2355649	527507	42.3	9.5	37267	Tue Feb  6 16:59:12 2024	0.46.0
SRX1482950	2932549	76	76	2725587	173432	92.9	5.9	37267	Tue Feb  6 17:00:04 2024	0.46.0
SRX1482951	8767255	76	76	7887760	1459779	90	16.7	37267	Tue Feb  6 17:00:29 2024	0.46.0
SRX1482952	4791157	76	76	868855	83184	18.1	1.7	37267	Tue Feb  6 17:01:15 2024	0.46.0
SRX1482953	2111306	76	76	1852453	110660	87.7	5.2	37267	Tue Feb  6 17:01:48 2024	0.46.0
SRX1482954	5421882	76	76	4363780	948786	80.5	17.5	37267	Tue Feb  6 17:02:12 2024	0.46.0
SRX1482955	4197833	76	76	3757426	269677	89.5	6.4	37267	Tue Feb  6 17:02:46 2024	0.46.0
SRX1482956	4914635	76	76	4575600	283012	93.1	5.8	37267	Tue Feb  6 17:03:15 2024	0.46.0
SRX1482957	2396103	75	75	1656927	508106	69.2	21.2	37267	Tue Feb  6 17:03:46 2024	0.46.0
SRX1482958	7182774	76	76	3229413	305369	45	4.3	37267	Tue Feb  6 17:04:09 2024	0.46.0
SRX1482959	7500294	76	76	6964004	347384	92.8	4.6	37267	Tue Feb  6 17:04:50 2024	0.46.0
SRX1482960	5797754	76	76	4779278	299306	82.4	5.2	37267	Tue Feb  6 17:05:30 2024	0.46.0
SRX1482961	6889347	76	76	6367690	392558	92.4	5.7	37267	Tue Feb  6 16:57:24 2024	0.46.0
SRX1482962	5971589	76	76	3285457	277150	55	4.6	37267	Tue Feb  6 16:58:01 2024	0.46.0
SRX1482963	5939734	76	76	4650190	258059	78.3	4.3	37267	Tue Feb  6 16:58:37 2024	0.46.0
SRX1482964	8091971	76	76	7329783	431099	90.6	5.3	37267	Tue Feb  6 16:59:11 2024	0.46.0
SRX1482965	10017029	76	76	9014268	808546	90	8.1	37267	Tue Feb  6 16:59:53 2024	0.46.0
SRX1482966	6487709	76	76	6010728	754066	92.6	11.6	37267	Tue Feb  6 17:00:40 2024	0.46.0
SRX1482967	9739917	76	76	9088882	639986	93.3	6.6	37267	Tue Feb  6 17:01:16 2024	0.46.0
SRX1482968	7723056	76	76	6508986	494538	84.3	6.4	37267	Tue Feb  6 17:02:01 2024	0.46.0
SRX1482969	5674211	76	76	5118940	342680	90.2	6	37267	Tue Feb  6 17:02:42 2024	0.46.0
SRX1482970	7079014	76	76	6271428	360548	88.6	5.1	37267	Tue Feb  6 17:03:15 2024	0.46.0
SRX1482971	4861864	76	76	4149343	201266	85.3	4.1	37267	Tue Feb  6 17:03:53 2024	0.46.0
