libraryId	min_read_length	max_read_length	average_read_length
ERX2169485	1.0	50.0	18.91118
ERX2169486	17.0	50.0	29.16588
ERX2172904	17.0	50.0	26.76545
ERX2172905	17.0	50.0	27.85223
ERX2172906	17.0	50.0	25.88384
ERX2172909	17.0	50.0	29.37806
ERX2172910	17.0	50.0	29.47106
ERX2172911	17.0	50.0	29.62708
ERX2172912	17.0	50.0	30.0454
ERX2172913	17.0	50.0	29.99803
ERX2172914	17.0	50.0	29.38944
ERX2172915	17.0	50.0	29.91927
ERX2172916	17.0	50.0	29.96823
ERX2172917	17.0	50.0	29.97637
ERX2173699	17.0	50.0	29.93167
ERX2173700	17.0	50.0	29.56819
ERX2173701	17.0	50.0	29.86894
ERX2173702	17.0	50.0	30.10042
ERX2173703	17.0	50.0	29.91636
ERX2173704	17.0	50.0	30.14548
ERX2173705	17.0	50.0	28.94414
ERX2173706	17.0	50.0	28.85752
ERX2173707	17.0	50.0	28.68908
ERX2173750	17.0	50.0	28.17315
ERX2173751	17.0	50.0	28.80393
ERX2173752	17.0	50.0	29.52705
ERX2173753	17.0	50.0	30.04765
ERX2173754	17.0	50.0	29.95015
ERX2173755	17.0	50.0	29.60829
ERX2173756	17.0	50.0	29.06049
ERX2173757	17.0	50.0	30.18606
ERX2173758	17.0	50.0	29.8362
ERX2173759	17.0	50.0	29.48937
ERX2173760	17.0	50.0	29.815
ERX2173761	17.0	50.0	29.56326
ERX2173762	17.0	50.0	28.83683
ERX2173763	17.0	50.0	29.49369
ERX2173764	17.0	50.0	29.46489
ERX2173930	17.0	50.0	29.94808
ERX2173931	17.0	50.0	29.95516
ERX2173932	17.0	50.0	30.07653
ERX2173936	17.0	50.0	29.14066
ERX2173937	17.0	50.0	28.72374
ERX2173938	17.0	50.0	28.83508
ERX2173939	17.0	50.0	28.02059
ERX2173940	17.0	50.0	28.72276
ERX2173941	17.0	50.0	28.27658
ERX2173942	17.0	50.0	26.92973
ERX2173943	17.0	50.0	26.71788
ERX2173944	17.0	50.0	28.0988
ERX2173945	17.0	50.0	30.13871
ERX2173946	17.0	50.0	28.75048
ERX2173947	17.0	50.0	29.43678
ERX2173948	17.0	50.0	29.77831
ERX2173949	17.0	50.0	29.27082
ERX2173950	17.0	50.0	29.45907
ERX2173951	17.0	50.0	29.90778
ERX2173952	17.0	50.0	29.95425
ERX2173953	17.0	50.0	29.9593
ERX2252036	125.0	125.0	125.0
ERX2252037	125.0	125.0	125.0
ERX2252038	125.0	125.0	125.0
ERX2252496	125.0	125.0	125.0
ERX2252497	125.0	125.0	125.0
ERX2252498	125.0	125.0	125.0
ERX2252499	125.0	125.0	125.0
ERX2252500	125.0	125.0	125.0
ERX2252501	125.0	125.0	125.0
ERX2252502	125.0	125.0	125.0
ERX2252503	125.0	125.0	125.0
ERX2252504	125.0	125.0	125.0
ERX2252505	125.0	125.0	125.0
ERX2252506	125.0	125.0	125.0
ERX2252507	125.0	125.0	125.0
ERX2253465	17.0	50.0	28.44307
ERX2253466	17.0	50.0	28.52334
ERX2253467	17.0	50.0	28.35816
ERX2253468	17.0	50.0	28.90327
ERX2253469	17.0	50.0	29.13058
ERX2253470	17.0	50.0	28.51822
ERX2253471	17.0	50.0	28.07745
ERX2253472	17.0	50.0	27.90829
ERX2253473	17.0	50.0	27.82863
ERX2253474	17.0	50.0	28.11509
ERX2253475	17.0	50.0	28.10212
ERX2253476	17.0	50.0	28.44501
ERX2634475	100.0	100.0	100.0
ERX2634476	100.0	100.0	100.0
ERX2634549	125.0	125.0	125.0
ERX2634550	100.0	100.0	100.0
ERX2634551	100.0	100.0	100.0
ERX2634552	100.0	100.0	100.0
ERX2634553	100.0	100.0	100.0
ERX2634554	100.0	100.0	100.0
ERX2634556	100.0	100.0	100.0
ERX2634557	100.0	100.0	100.0
ERX2634558	100.0	100.0	100.0
ERX2634559	100.0	100.0	100.0
ERX2634560	100.0	100.0	100.0
ERX2634561	100.0	100.0	100.0
ERX2634562	100.0	100.0	100.0
ERX2634563	100.0	100.0	100.0
ERX2756284	50.0	50.0	50.0
ERX2757115	50.0	50.0	50.0
ERX2757116	50.0	50.0	50.0
ERX2757117	50.0	50.0	50.0
ERX2757118	50.0	50.0	50.0
ERX2757119	50.0	50.0	50.0
ERX2757120	50.0	50.0	50.0
ERX2757121	50.0	50.0	50.0
ERX2757122	50.0	50.0	50.0
ERX2757123	35.0	76.0	75.29587
ERX2757124	35.0	76.0	75.32173
ERX2757125	35.0	76.0	75.30527
ERX2757126	35.0	76.0	75.35864
ERX2757127	35.0	76.0	75.3506
ERX2757128	35.0	76.0	75.10288
ERX3440146	35.0	76.0	75.36369
ERX3440147	35.0	76.0	75.33986
ERX3440148	35.0	76.0	75.34909
ERX3440149	32.0	76.0	73.79112
ERX3440150	32.0	76.0	73.74749
ERX3440151	32.0	76.0	73.78065
ERX3440669	35.0	76.0	75.4074
ERX3440670	35.0	76.0	75.39969
ERX3440671	35.0	76.0	75.4923
ERX3440672	35.0	76.0	75.37757
ERX3444739	35.0	76.0	54.75684
ERX3444740	35.0	76.0	54.97847
ERX3444741	35.0	76.0	59.25567
ERX3444751	35.0	76.0	60.5251
ERX3444752	50.0	50.0	50.0
ERX3444753	35.0	76.0	62.78591
ERX3444775	35.0	76.0	58.99786
ERX3444809	35.0	76.0	59.20388
ERX3444810	35.0	76.0	60.17482
ERX3444811	35.0	76.0	62.0561
ERX3448128	35.0	76.0	60.65771
ERX3448129	35.0	76.0	63.4813
ERX3448130	35.0	76.0	60.89864
ERX3449526	35.0	76.0	56.02354
ERX3449527	35.0	76.0	65.55077
ERX3449528	35.0	76.0	61.84173
ERX3449529	35.0	76.0	60.14328
ERX3449530	35.0	76.0	62.78579
ERX3449531	35.0	76.0	61.54434
ERX3449532	35.0	76.0	62.17228
ERX3449533	35.0	76.0	59.00278
ERX3449534	35.0	76.0	60.58948
ERX3449535	35.0	76.0	60.46028
SRX018864	75.0	76.0	75.66666666666667
SRX018865	75.0	76.0	75.66666666666667
SRX018866	36.0	36.0	36.0
SRX018867	36.0	36.0	36.0
SRX019645	64.0	64.0	64.0
SRX019646	75.0	75.0	75.0
SRX019647	75.0	75.0	75.0
SRX019648	75.0	75.0	75.0
SRX019649	75.0	75.0	75.0
SRX019650	75.0	75.0	75.0
SRX019651	75.0	75.0	75.0
SRX019652	75.0	75.0	75.0
SRX019653	75.0	75.0	75.0
SRX019654	100.0	100.0	100.0
SRX019655	100.0	100.0	100.0
SRX019657	75.0	75.0	75.0
SRX028836	36.0	36.0	36.0
SRX029405	76.0	76.0	76.0
SRX029406	80.0	80.0	80.0
SRX054459	101.0	101.0	101.0
SRX054460	101.0	101.0	101.0
SRX054461	101.0	101.0	101.0
