speciesId	genus	species	speciesCommonName	displayOrder	genomeFilePath	genomeVersion	dataSourceId	genomeSpeciesId	fakeGeneIdPrefix	keywords	comment
56723	labrus	bergylta	ballan wrasse		labrus_bergylta/Labrus_bergylta.BallGen_V1	BallGen_V1	2	56723			
61221	varanus	komodoensis	Komodo dragon		varanus_komodoensis/Varanus_komodoensis.ASM479886v1	ASM479886v1	2	61221			
223781	aquila	chrysaetos chrysaetos	golden eagle		aquila_chrysaetos_chrysaetos/Aquila_chrysaetos_chrysaetos.bAquChr1.2	bAquChr1.2	2	223781			
30611	otolemur	garnettii	small-eared galago		otolemur_garnettii/Otolemur_garnettii.OtoGar3	OtoGar3	2	30611		ogar|otogar|otolemur garnettii|galago|ogarnettii|small-eared galago|bushbaby|30611	
7897	latimeria	chalumnae	coelacanth		latimeria_chalumnae/Latimeria_chalumnae.LatCha1	LatCha1	2	7897		latimeria chalumnae|coelacanth|lchalumnae|latcha|living fossil|lamineria|lcha|7897	
75366	sinocyclocheilus	grahami	golden-line barbel		sinocyclocheilus_grahami/Sinocyclocheilus_grahami.SAMN03320097.WGS_v1.1	SAMN03320097.WGS_v1.1	2	75366			
10047	meriones	unguiculatus	Mongolian gerbil		meriones_unguiculatus/Meriones_unguiculatus.MunDraft-v1.0	MunDraft-v1.0	2	10047			
7764	eptatretus	burgeri	Inshore hagfish		eptatretus_burgeri/Eptatretus_burgeri.Eburgeri_3.2	Eburgeri_3.2	2	7764		hagfish	
8005	electrophorus	electricus	electric eel		electrophorus_electricus/Electrophorus_electricus.fEleEle1.pri	fEleEle1.pri	2	8005			
43700	monopterus	albus	swamp eel		monopterus_albus/Monopterus_albus.M_albus_1.0	M_albus_1.0	2	43700			
72004	bos	mutus	wild yak		bos_mutus/Bos_mutus.BosGru_v2.0	BosGru_v2.0	2	72004			
8083	xiphophorus	maculatus	southern platyfish		xiphophorus_maculatus/Xiphophorus_maculatus.X_maculatus-5.0-male	X_maculatus-5.0-male	2	8083		8083|platyfish|xiphophorus maculatus|xipmac|southern platyfish|xmac|xmaculatus	
43346	bison	bison bison	American bison		bison_bison_bison/Bison_bison_bison.Bison_UMD1.0	Bison_UMD1.0	2	43346			
94237	mola	mola	ocean sunfish		mola_mola/Mola_mola.ASM169857v1	ASM169857v1	2	94237			
29073	ursus	maritimus	Polar bear		ursus_maritimus/Ursus_maritimus.UrsMar_1.0	UrsMar_1.0	2	29073			
61383	lynx	canadensis	Canada lynx		lynx_canadensis/Lynx_canadensis.mLynCan4_v1.p	mLynCan4_v1.p	2	61383			
39432	saimiri	boliviensis boliviensis	Bolivian squirrel monkey		saimiri_boliviensis_boliviensis/Saimiri_boliviensis_boliviensis.SaiBol1.0	SaiBol1.0	2	39432			
308060	apteryx	rowi	Okarito brown kiwi		apteryx_rowi/Apteryx_rowi.aptRow1	aptRow1	2	308060			
8153	haplochromis	burtoni	Burton's mouthbrooder		haplochromis_burtoni/Haplochromis_burtoni.AstBur1.0	AstBur1.0	2	8153			
9258	ornithorhynchus	anatinus	platypus		ornithorhynchus_anatinus/Ornithorhynchus_anatinus.mOrnAna1.p.v1	mOrnAna1.p.v1	2	9258			
37347	tupaia	belangeri	northern tree shrew		tupaia_belangeri/Tupaia_belangeri.TREESHREW	TREESHREW	2	37347		37347|tree shrew|tree_shrew|tbel|tupaia belangeri|tupbel|tbelangeri|northern tree shrew	
8103	cyclopterus	lumpus	lumpfish		cyclopterus_lumpus/Cyclopterus_lumpus.fCycLum1.pri	fCycLum1.pri	2	8103			
37548	cavia	aperea	Brazilian guinea pig		cavia_aperea/Cavia_aperea.CavAp1.0	CavAp1.0	2	37548		caperea|cavia aperea|cape|37548|brazilian guinea pig|cavape	
10141	cavia	porcellus	domestic guinea pig		cavia_porcellus/Cavia_porcellus.Cavpor3.0	Cavpor3.0	2	10141		guinea pig|cpor|10141|guinea_pig|cavpor|cporcellus|cavia porcellus|domestic guinea pig	
9823	sus	scrofa	pig		sus_scrofa/Sus_scrofa.Sscrofa11.1	Sscrofa11.1	2	9823		sscrofa|sscr|pig|wild boar|pigs|sus scrofa|9823|swine	
283035	sander	lucioperca	pike-perch		sander_lucioperca/Sander_lucioperca.SLUC_FBN_1	SLUC_FBN_1	2	283035			
61622	rhinopithecus	roxellana	Golden snub-nosed monkey		rhinopithecus_roxellana/Rhinopithecus_roxellana.Rrox_v1	Rrox_v1	2	61622			
43179	ictidomys	tridecemlineatus	thirteen-lined ground squirrel		ictidomys_tridecemlineatus/Ictidomys_tridecemlineatus.SpeTri2.0	SpeTri2.0	2	43179		ictidomys tridecemlineatus|squirrel|spetri|spermophilus_tridecemlineatus|thirteen-lined ground squirrel|43179|stri|stridecemlineatus	
31033	takifugu	rubripes	fugu		takifugu_rubripes/Takifugu_rubripes.fTakRub1.2	fTakRub1.2	2	31033			
30608	microcebus	murinus	gray mouse lemur		microcebus_murinus/Microcebus_murinus.Mmur_3.0	Mmur_3.0	2	30608		micmur|gray mouse lemur|mouse_lemur|mmurinus|30608|mouse lemur|grey mouse lemur|mmur|microcebus murinus	
198806	calidris	pugnax	ruff		calidris_pugnax/Calidris_pugnax.ASM143184v1	ASM143184v1	2	198806			
87175	camarhynchus	parvulus	small tree finch		camarhynchus_parvulus/Camarhynchus_parvulus.Camarhynchus_parvulus_V1.1	Camarhynchus_parvulus_V1.1	2	87175			
10181	heterocephalus	glaber	naked mole-rat		heterocephalus_glaber/Heterocephalus_glaber.Naked_mole-rat_maternal	Naked_mole-rat_maternal	2	10181			
9986	oryctolagus	cuniculus	rabbit		oryctolagus_cuniculus/Oryctolagus_cuniculus.OryCun2.0	OryCun2.0	2	9986		ocun|rabbit|9986|orycun|ocuniculus|oryctolagus cuniculus	
9646	ailuropoda	melanoleuca	giant panda		ailuropoda_melanoleuca/Ailuropoda_melanoleuca.ASM200744v2	ASM200744v2	2	9646			
84702	cervus	hanglu yarkandensis	Yarkand deer		cervus_hanglu_yarkandensis/Cervus_hanglu_yarkandensis.CEY_v1	CEY_v1	2	84702			
9796	equus	caballus	horse		equus_caballus/Equus_caballus.EquCab3.0	EquCab3.0	2	9796		equus caballus|equcab|9796|horse|equuscaballus|ecaballus|ecab	
