libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	pValueCutoff	meanIntergenic	sdIntergenic	speciesId
SRX4955493	0.642242	19.5295202952029	6351	32520	23.6788298206983	6022	25432	0	0	28223	0.05	1.43925315863616	4.49070847804128	7955
SRX4955494	0.10062	23.7607626076261	7727	32520	28.8770053475936	7344	25432	0	0	28223	0.05	1.08253281065703	5.18646909834541	7955
SRX5588292	5.59522e-08	3.85833610053897	3021	78298	9.60088283980136	2088	21748	0	0	61577	0.05	1.12864056406527	2.42358114733157	10090
SRX5588293	8.17418e-08	5.79580576770799	4538	78298	13.9553062350561	3035	21748	0	0	61577	0.05	1.68954068620305	3.4212694736551	10090
SRX5588294	0.144479	6.94526041533628	5438	78298	14.465697995218	3146	21748	0	0	61577	0.05	0.667055185452334	3.63288295608114	10090
SRX5588295	1.03067e-08	3.42537484993231	2682	78298	7.9869413279382	1737	21748	0	0	61577	0.05	2.63486666290613	2.48825539363156	10090
SRX5588296	3.64142e-08	3.35768474290531	2629	78298	7.76623137759794	1689	21748	0	0	61577	0.05	0.871196270669781	2.27404739776472	10090
SRX5588297	1.57128e-08	5.47012695087997	4283	78298	11.6746367482067	2539	21748	0	0	61577	0.05	1.21659140184717	3.65458969050305	10090
SRX5588298	1.53828e-08	4.92222023551049	3854	78298	11.7620011035498	2558	21748	0	0	61577	0.05	0.955016014385366	3.42134803185322	10090
SRX5588299	6.65603e-09	5.41776290582135	4242	78298	12.8425602354239	2793	21748	0	0	61577	0.05	0.907472345215649	3.35915707434036	10090
SRX5588300	1.62133	2.9604843035582	2318	78298	4.23027404818834	920	21748	0	0	61577	0.05	4.76250275383385	3.05496368997874	10090
SRX5588302	1.81937e-08	5.60933868042606	4392	78298	12.6816258966342	2758	21748	0	0	61577	0.05	0.807325614807411	2.82459066336939	10090
SRX5588303	1.10754e-08	4.2427648215791	3322	78298	10.479124517197	2279	21748	0	0	61577	0.05	1.27362285744109	2.87951788704296	10090
SRX5588304	1.53621e-08	5.19298066361848	4066	78298	11.6608423763105	2536	21748	0	0	61577	0.05	1.52888920845503	3.31463720031539	10090
SRX5588305	8.20176e-09	3.71273851183938	2907	78298	9.05830421188155	1970	21748	0	0	61577	0.05	0.933614586687108	2.38506400413724	10090
SRX5588306	1.85371e-08	5.21852410023244	4086	78298	11.4953099135553	2500	21748	0	0	61577	0.05	1.25501036291195	3.49036572616558	10090
SRX5588307	3.84766e-08	6.74219009425528	5279	78298	16.3095457053522	3547	21748	0	0	61577	0.05	0.73541047431028	3.20204267727299	10090
SRX5588308	4.41048e-08	5.9899358859741	4690	78298	13.7529887805775	2991	21748	0	0	61577	0.05	1.32367404756232	3.43714458787127	10090
SRX5588309	4.45542e-08	5.56974635367442	4361	78298	12.6862240205996	2759	21748	0	0	61577	0.05	0.921667319002365	3.3502462011344	10090
SRX5588310	1.05251e-08	2.45983294592454	1926	78298	6.14309361780394	1336	21748	0	0	61577	0.05	1.54511634226957	2.17419578448827	10090
SRX5588311	1.50953e-07	2.60670770645483	2041	78298	6.42817730366011	1398	21748	0	0	61577	0.05	2.6933837574352	2.03472856061333	10090
SRX5588312	2.22701e-08	6.31178318731002	4942	78298	13.6150450616149	2961	21748	0	0	61577	0.05	0.798725218523082	3.24877548276766	10090
SRX5588313	4.95431e-09	4.04991187514368	3171	78298	9.04450983998529	1967	21748	0	0	61577	0.05	0.739455279602935	2.39372393967693	10090
SRX5588315	5.00086e-09	4.10866177935579	3217	78298	8.74103365826743	1901	21748	0	0	61577	0.05	1.57608486663863	3.25764241865663	10090
SRX5588317	7.54988e-09	5.77920253390891	4525	78298	12.1528416406106	2643	21748	0	0	61577	0.05	0.978712410352245	3.31614521472577	10090
SRX5588318	3.27138e-09	6.23259853380674	4880	78298	14.4840904910796	3150	21748	0	0	61577	0.05	2.24794853100546	3.86613765712017	10090
SRX5588319	4.06739e-07	2.04602927277836	1602	78298	4.4509839985286	968	21748	0	0	61577	0.05	2.29464345252941	2.47313655530857	10090
SRX5588320	2.61553e-08	4.49181332856523	3517	78298	9.8169946661762	2135	21748	0	0	61577	0.05	0.798681292916752	2.55084290868663	10090
SRX5588321	1.38446e-08	5.67702878745306	4445	78298	12.9437189626632	2815	21748	0	0	61577	0.05	1.15519368368226	3.87070144635373	10090
SRX5588322	5.74126e-09	3.00646248946333	2354	78298	7.03972779106125	1531	21748	0	0	61577	0.05	0.920016300121284	1.97846186858606	10090
SRX5588323	2.16437e-09	3.7702112442208	2952	78298	10.0514989884127	2186	21748	0	0	61577	0.05	2.01424444008585	2.40101330000097	10090
SRX5588324	1.60094e-08	4.306623413114	3372	78298	9.95034026117344	2164	21748	0	0	61577	0.05	1.44451045657636	3.25540851477531	10090
SRX5588325	0.338372	5.72939283251169	4486	78298	11.895346698547	2587	21748	0	0	61577	0.05	2.77713819931265	3.654566367044	10090
SRX5588326	9.46679e-06	4.40241130041636	3447	78298	10.0423027404819	2184	21748	0	0	61577	0.05	1.57007726499543	3.05333764412351	10090
SRX5588327	1.31671e-08	2.94388106975913	2305	78298	6.69946661762001	1457	21748	0	0	61577	0.05	5.43337352835525	3.12090466415386	10090
SRX5588330	7.58762e-09	4.83154103553092	3783	78298	11.1090675004598	2416	21748	0	0	61577	0.05	0.819250870434073	2.95009855045524	10090
SRX5588331	1.92394e-08	4.42029170604613	3461	78298	10.4239470296119	2267	21748	0	0	61577	0.05	1.37128968023513	3.05892615887719	10090
SRX5588332	1.54217e-08	5.38838795371529	4219	78298	11.7252161118264	2550	21748	0	0	61577	0.05	2.02092037061194	3.76523963174592	10090
SRX5588333	0.487365	6.56721755344964	5142	78298	14.4932867390105	3152	21748	0	0	61577	0.05	1.5966695682635	3.57051056667641	10090
SRX5588334	4.66008e-08	3.65526577945797	2862	78298	8.4237631046533	1832	21748	0	0	61577	0.05	1.47122529862448	2.8720053044252	10090
SRX5588335	6.74022e-08	3.48412475414442	2728	78298	7.73864263380541	1683	21748	0	0	61577	0.05	2.12944909618288	3.71351785263326	10090
SRX5588336	1.42913e-07	0.636031571687655	498	78298	1.623137759794	353	21748	0	0	61577	0.05	2.73482054773234	3.73634944156161	10090
SRX5588337	0.341571	5.11890469743799	4008	78298	9.89516277358838	2152	21748	0	0	61577	0.05	1.14016036952401	3.70994341359828	10090
SRX5588338	9.00361e-09	4.61825333980434	3616	78298	10.479124517197	2279	21748	0	0	61577	0.05	0.575331314993045	2.71868147682769	10090
SRX5588339	2.2547e-08	4.13931390329255	3241	78298	8.97553798050395	1952	21748	0	0	61577	0.05	3.17535508611791	3.52370114004625	10090
SRX5588340	7.10111e-07	4.01031954839204	3140	78298	8.25823064189811	1796	21748	0	0	61577	0.05	3.14249961906269	3.04053352119661	10090
SRX5588341	1.43542e-07	4.82260083271603	3776	78298	11.1596468640795	2427	21748	0	0	61577	0.05	1.91174019130792	3.14068192455168	10090
SRX5588342	2.65485e-08	4.00648803289995	3137	78298	9.85377965789958	2143	21748	0	0	61577	0.05	3.34856408828279	2.9675420832315	10090
SRX5588344	4.70161e-08	5.53909422973767	4337	78298	13.4908957145485	2934	21748	0	0	61577	0.05	0.657386492481561	3.03754064631699	10090
SRX5588345	0.47725	5.55314311987535	4348	78298	11.449328673901	2490	21748	0	0	61577	0.05	1.87259038918742	3.4775228707022	10090
SRX5588347	0.337559	5.65787120999259	4430	78298	11.6976273680338	2544	21748	0	0	61577	0.05	1.25268292345308	4.04829667669115	10090
SRX5588348	1.33469e-07	3.71146134000869	2906	78298	8.52492183189259	1854	21748	0	0	61577	0.05	2.06642620654725	3.01424388956887	10090
SRX5588349	6.47449e-08	3.4330378809165	2688	78298	7.30641898105573	1589	21748	0	0	61577	0.05	3.68787222369586	3.41434796626987	10090
SRX5588350	0.240196	5.29898592556643	4149	78298	10.598675740298	2305	21748	0	0	61577	0.05	1.22844445952924	3.23747134118811	10090
SRX5588351	0.19705	5.83284375079823	4567	78298	12.5298878057752	2725	21748	0	0	61577	0.05	1.34913109568771	3.70626483999289	10090
SRX5588352	3.20999e-07	3.27722291757133	2566	78298	7.87198822880265	1712	21748	0	0	61577	0.05	3.67405986666537	3.56796765830995	10090
SRX5588353	5.17361e-09	3.90686863010549	3059	78298	8.05131506345411	1751	21748	0	0	61577	0.05	2.69360444544997	3.14540739368467	10090
SRX5588355	0.651716	4.41773736238474	3459	78298	8.04211881552327	1749	21748	0	0	61577	0.05	0.952594688296208	3.36826581752495	10090
SRX5588356	5.1916e-09	5.19936652277197	4071	78298	11.0814787566673	2410	21748	0	0	61577	0.05	2.08319084846145	4.07092865818764	10090
SRX5588357	1.59938e-08	4.52118828067128	3540	78298	10.7826006989148	2345	21748	0	0	61577	0.05	2.66585604904207	3.466254394035	10090
SRX5588358	1.38087e-08	6.74602160974738	5282	78298	15.555453375023	3383	21748	0	0	61577	0.05	2.53781748220618	3.21833722333189	10090
SRX5588359	0.15593529074	6.67322281539758	5225	78298	14.7369873091779	3205	21748	0	0	61577	0.05	1.69455424696191	3.5543157946683	10090
SRX5588360	3.74879e-07	4.15208562159953	3251	78298	9.70204156704065	2110	21748	0	0	61577	0.05	1.77160367216153	3.60588308411268	10090
SRX6044218	1.52518e-06	5.59088835960067	4413	78932	17.1157287731159	3443	20116	0	0	47386	0.05	2.9589597887663	2.86846267398375	9606
SRX6044219	3.11728e-08	4.69644757512796	3707	78932	14.769337840525	2971	20116	0	0	47386	0.05	2.90903740211517	3.23356159874632	9606
