sample_accession	experiment_id	library_id	run_accession	read_count	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp
SAMN16732282	SRP292191	SRX9485053	SRR13026706	949243	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR13026706/SRR13026706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/006/SRR13026706/SRR13026706_2.fastq.gz	NA
SAMN16732305	SRP292191	SRX9485640	SRR13026717	1384231	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/017/SRR13026717/SRR13026717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/017/SRR13026717/SRR13026717_2.fastq.gz	NA
SAMN16742400	SRP292191	SRX9475310	SRR13032048	884586	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/048/SRR13032048/SRR13032048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/048/SRR13032048/SRR13032048_2.fastq.gz	NA
SAMN16742556	SRP292191	SRX9475338	SRR13032076	1929367	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/076/SRR13032076/SRR13032076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/076/SRR13032076/SRR13032076_2.fastq.gz	NA
SAMN16744791	SRP292191	SRX9475342	SRR13025823	1046710	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/023/SRR13025823/SRR13025823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/023/SRR13025823/SRR13025823_2.fastq.gz	NA
SAMN16744788	SRP292191	SRX9475345	SRR13025826	1432072	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/026/SRR13025826/SRR13025826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/026/SRR13025826/SRR13025826_2.fastq.gz	NA
SAMN16744773	SRP292191	SRX9475360	SRR13025841	798509	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/041/SRR13025841/SRR13025841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/041/SRR13025841/SRR13025841_2.fastq.gz	NA
SAMN16744730	SRP292191	SRX9475363	SRR13025844	585134	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/044/SRR13025844/SRR13025844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/044/SRR13025844/SRR13025844_2.fastq.gz	NA
SAMN16744246	SRP292191	SRX9475387	SRR13030213	494601	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/013/SRR13030213/SRR13030213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/013/SRR13030213/SRR13030213_2.fastq.gz	NA
SAMN16744239	SRP292191	SRX9475394	SRR13030220	1657300	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/020/SRR13030220/SRR13030220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/020/SRR13030220/SRR13030220_2.fastq.gz	NA
SAMN16743755	SRP292191	SRX9475932	SRR13033318	1583695	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/018/SRR13033318/SRR13033318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/018/SRR13033318/SRR13033318_2.fastq.gz	NA
SAMN16743610	SRP292191	SRX9475946	SRR13033332	864977	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/032/SRR13033332/SRR13033332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/032/SRR13033332/SRR13033332_2.fastq.gz	NA
SAMN16743023	SRP292191	SRX9475949	SRR13026569	947188	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/069/SRR13026569/SRR13026569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/069/SRR13026569/SRR13026569_2.fastq.gz	NA
SAMN16742554	SRP292191	SRX9475980	SRR13032078	1107516	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/078/SRR13032078/SRR13032078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/078/SRR13032078/SRR13032078_2.fastq.gz	NA
SAMN16744720	SRP292191	SRX9476013	SRR13026577	1184229	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/077/SRR13026577/SRR13026577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/077/SRR13026577/SRR13026577_2.fastq.gz	NA
SAMN16744291	SRP292191	SRX9476052	SRR13030238	1495925	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/038/SRR13030238/SRR13030238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/038/SRR13030238/SRR13030238_2.fastq.gz	NA
SAMN16744281	SRP292191	SRX9476065	SRR13030251	1247976	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/051/SRR13030251/SRR13030251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/051/SRR13030251/SRR13030251_2.fastq.gz	NA
SAMN16744093	SRP292191	SRX9476067	SRR13030253	1520910	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/053/SRR13030253/SRR13030253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/053/SRR13030253/SRR13030253_2.fastq.gz	NA
SAMN16744080	SRP292191	SRX9476720	SRR13030266	1539597	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/066/SRR13030266/SRR13030266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/066/SRR13030266/SRR13030266_2.fastq.gz	NA
SAMN16744074	SRP292191	SRX9476726	SRR13030272	1848480	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/072/SRR13030272/SRR13030272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/072/SRR13030272/SRR13030272_2.fastq.gz	NA
SAMN16744190	SRP292191	SRX9476744	SRR13031522	902035	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/022/SRR13031522/SRR13031522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/022/SRR13031522/SRR13031522_2.fastq.gz	NA
SAMN16743639	SRP292191	SRX9477262	SRR13033835	323877	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/035/SRR13033835/SRR13033835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/035/SRR13033835/SRR13033835_2.fastq.gz	NA
SAMN16743636	SRP292191	SRX9477265	SRR13033838	1815246	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/038/SRR13033838/SRR13033838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/038/SRR13033838/SRR13033838_2.fastq.gz	NA
SAMN16744173	SRP292191	SRX9477369	SRR13031539	2907997	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/039/SRR13031539/SRR13031539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/039/SRR13031539/SRR13031539_2.fastq.gz	NA
SAMN16743583	SRP292191	SRX9477902	SRR13033867	1195873	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/067/SRR13033867/SRR13033867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/067/SRR13033867/SRR13033867_2.fastq.gz	NA
