libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	protocol	protocolType	libraryType	infoOrgan	stageId	anatId	sex	strain	readLength	genotype	organism
ERX1226727	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226728	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226729	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226730	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226731	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226732	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226733	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226734	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226735	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226736	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226737	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226738	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226739	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226740	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226741	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226742	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226743	ERP013381	epiblast cell	CL:0000352	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	distal half of the embryo	MmusDv:0000014	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226744	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226745	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226746	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226747	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226748	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226749	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226750	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226751	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226752	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226753	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226754	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226755	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226756	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
ERX1226757	ERP013381	mesodermal cell	CL:0000222	10090	Illumina HiSeq 2500	Adapted Smart-Seq2	Full-length	SINGLE	whole organism	MmusDv:0000094	UBERON:0000922		CD-1	125		Mus_musculus
