#Experiment	Tissue	Life_stage	Sex	Treatment	GSM	Platform
WBPaper00045960	UBERON:0001062	WBls:0000036	Hermaphrodite	N.A.	GSM1128170	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000036	Hermaphrodite	N.A.	GSM1128171	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000035	Hermaphrodite	N.A.	GSM1128166	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000035	Hermaphrodite	N.A.	GSM1128167	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000035	Hermaphrodite	N.A.	GSM1128168	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000039	Hermaphrodite	N.A.	GSM1128177	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000039	Hermaphrodite	N.A.	GSM1128178	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000039	Hermaphrodite	N.A.	GSM1128179	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000039	Hermaphrodite	N.A.	GSM1128180	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000039	Hermaphrodite	N.A.	GSM1128181	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM1128172	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM1128173	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM1128174	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM1128175	GPL200
WBPaper00045960	UBERON:0001062	WBls:0000038	Hermaphrodite	N.A.	GSM1128176	GPL200
