libraryId	min_read_length	max_read_length	average_read_length
ERX1226658	125	125	125
ERX1226659	125	125	125
ERX1226660	125	125	125
ERX1226661	125	125	125
ERX1226662	125	125	125
ERX1226663	125	125	125
ERX1226664	125	125	125
ERX1226665	125	125	125
ERX1226666	125	125	125
ERX1226667	125	125	125
ERX1226668	125	125	125
ERX1226669	125	125	125
ERX1226670	125	125	125
ERX1226671	125	125	125
ERX1226672	125	125	125
ERX1226673	125	125	125
ERX1226674	125	125	125
ERX1226675	125	125	125
ERX1226676	125	125	125
ERX1226677	125	125	125
ERX1226678	125	125	125
ERX1226679	125	125	125
ERX1226680	125	125	125
ERX1226681	125	125	125
ERX1226682	125	125	125
ERX1226683	125	125	125
ERX1226684	125	125	125
ERX1226685	125	125	125
ERX1226686	125	125	125
ERX1226687	125	125	125
ERX1226688	125	125	125
ERX1226689	125	125	125
ERX1226690	125	125	125
ERX1226691	125	125	125
ERX1226692	125	125	125
ERX1226693	125	125	125
ERX1226694	125	125	125
ERX1226695	125	125	125
ERX1226696	125	125	125
ERX1226697	125	125	125
ERX1226698	125	125	125
ERX1226699	125	125	125
ERX1226700	125	125	125
ERX1226701	125	125	125
ERX1226702	125	125	125
ERX1226703	125	125	125
ERX1226704	125	125	125
ERX1226705	125	125	125
ERX1226706	125	125	125
ERX1226707	125	125	125
ERX1226708	125	125	125
ERX1226709	125	125	125
ERX1226710	125	125	125
ERX1226711	125	125	125
ERX1226712	125	125	125
ERX1226713	125	125	125
ERX1226714	125	125	125
ERX1226715	125	125	125
ERX1226716	125	125	125
ERX1226717	125	125	125
ERX1226718	125	125	125
ERX1226719	125	125	125
ERX1226720	125	125	125
ERX1226721	125	125	125
ERX1226722	125	125	125
ERX1226723	125	125	125
ERX1226724	125	125	125
ERX1226725	125	125	125
ERX1226726	125	125	125
ERX1226727	125	125	125
ERX1226728	125	125	125
ERX1226729	125	125	125
ERX1226730	125	125	125
ERX1226731	125	125	125
ERX1226732	125	125	125
ERX1226733	125	125	125
ERX1226734	125	125	125
ERX1226735	125	125	125
ERX1226736	125	125	125
ERX1226737	125	125	125
ERX1226738	125	125	125
ERX1226739	125	125	125
ERX1226740	125	125	125
ERX1226741	125	125	125
ERX1226742	125	125	125
ERX1226743	125	125	125
ERX1226744	125	125	125
ERX1226745	125	125	125
ERX1226746	125	125	125
ERX1226747	125	125	125
ERX1226748	125	125	125
ERX1226749	125	125	125
ERX1226750	125	125	125
ERX1226751	125	125	125
ERX1226752	125	125	125
ERX1226753	125	125	125
ERX1226754	125	125	125
ERX1226755	125	125	125
ERX1226756	125	125	125
ERX1226757	125	125	125
ERX1226758	125	125	125
ERX1226759	125	125	125
ERX1226760	125	125	125
ERX1226761	125	125	125
ERX1226762	125	125	125
ERX1226763	125	125	125
ERX1226764	125	125	125
ERX1226765	125	125	125
ERX1226766	125	125	125
ERX1226767	125	125	125
ERX1226768	125	125	125
ERX1226769	125	125	125
ERX1226770	125	125	125
ERX1226771	125	125	125
ERX1226772	125	125	125
ERX1226773	125	125	125
ERX1226774	125	125	125
ERX1226775	125	125	125
ERX1226776	125	125	125
ERX1226777	125	125	125
ERX1226778	125	125	125
ERX1226779	125	125	125
ERX1226780	125	125	125
ERX1226781	125	125	125
ERX1226782	125	125	125
ERX1226783	125	125	125
ERX1226784	125	125	125
ERX1226785	125	125	125
ERX1226786	125	125	125
ERX1226787	125	125	125
ERX1226788	125	125	125
ERX1226789	125	125	125
ERX1226790	125	125	125
ERX1226791	125	125	125
ERX1226792	125	125	125
ERX1226793	125	125	125
ERX1226794	125	125	125
ERX1226795	125	125	125
ERX1226796	125	125	125
ERX1226797	125	125	125
ERX1226798	125	125	125
ERX1226799	125	125	125
ERX1226800	125	125	125
ERX1226801	125	125	125
ERX1226802	125	125	125
ERX1226803	125	125	125
ERX1226804	125	125	125
ERX1226805	125	125	125
ERX1226806	125	125	125
ERX1226807	125	125	125
ERX1226808	125	125	125
ERX1226809	125	125	125
ERX1226810	125	125	125
ERX1226811	125	125	125
ERX1226812	125	125	125
ERX1226813	125	125	125
ERX1226814	125	125	125
ERX1226815	125	125	125
ERX1226816	125	125	125
ERX1226817	125	125	125
ERX1226818	125	125	125
ERX1226819	125	125	125
ERX1226820	125	125	125
ERX1226821	125	125	125
ERX1226822	125	125	125
ERX1226823	125	125	125
ERX1226824	125	125	125
ERX1226825	125	125	125
ERX1226826	125	125	125
ERX1226827	125	125	125
ERX1226828	125	125	125
ERX1226829	125	125	125
ERX1226830	125	125	125
ERX1226831	125	125	125
ERX1226832	125	125	125
ERX1226833	125	125	125
ERX1226834	125	125	125
ERX1226835	125	125	125
ERX1226836	125	125	125
ERX1226837	125	125	125
ERX1226838	125	125	125
ERX1226839	125	125	125
ERX1226840	125	125	125
ERX1226841	125	125	125
ERX1226842	125	125	125
ERX1226843	125	125	125
ERX1226844	125	125	125
ERX1226845	125	125	125
ERX1226846	125	125	125
ERX1226847	125	125	125
ERX1226848	125	125	125
ERX1226849	125	125	125
ERX1226850	125	125	125
ERX1226851	125	125	125
ERX1226852	125	125	125
ERX1226853	125	125	125
ERX1226854	125	125	125
ERX1226855	125	125	125
ERX1226856	125	125	125
ERX1226857	125	125	125
ERX1226858	125	125	125
ERX1226859	125	125	125
ERX1226860	125	125	125
ERX1226861	125	125	125
ERX1226862	125	125	125
ERX1226863	125	125	125
ERX1226864	125	125	125
ERX1226865	125	125	125
ERX1226866	125	125	125
ERX1226867	125	125	125
ERX1226868	125	125	125
ERX1226869	125	125	125
ERX1226870	125	125	125
ERX1226871	125	125	125
ERX1226872	125	125	125
ERX1226873	125	125	125
ERX1226874	125	125	125
ERX1226875	125	125	125
ERX1226876	125	125	125
ERX1226877	125	125	125
ERX1226878	125	125	125
ERX1226879	125	125	125
ERX1226880	125	125	125
ERX1226881	125	125	125
ERX1226882	125	125	125
ERX1226883	125	125	125
ERX1226884	125	125	125
ERX1226885	125	125	125
ERX1226886	125	125	125
ERX1226887	125	125	125
ERX1226888	125	125	125
ERX1226889	125	125	125
ERX1226890	125	125	125
ERX1226891	125	125	125
ERX1226892	125	125	125
ERX1226893	125	125	125
ERX1226894	125	125	125
ERX1226895	125	125	125
ERX1226896	125	125	125
ERX1226897	125	125	125
ERX1226898	125	125	125
ERX1226899	125	125	125
ERX1226900	125	125	125
ERX1226901	125	125	125
ERX1226902	125	125	125
ERX1226903	125	125	125
ERX1226904	125	125	125
ERX1226905	125	125	125
ERX1226906	125	125	125
ERX1226907	125	125	125
ERX1226908	125	125	125
ERX1226909	125	125	125
ERX1226910	125	125	125
ERX1226911	125	125	125
ERX1226912	125	125	125
ERX1226913	125	125	125
ERX1226914	125	125	125
ERX1226915	125	125	125
ERX1226916	125	125	125
ERX1226917	125	125	125
ERX1226918	125	125	125
ERX1226919	125	125	125
ERX1226920	125	125	125
ERX1226921	125	125	125
ERX1226922	125	125	125
ERX1226923	125	125	125
ERX1226924	125	125	125
ERX1226925	125	125	125
ERX1226926	125	125	125
ERX1226927	125	125	125
ERX1226928	125	125	125
ERX1226929	125	125	125
ERX1226930	125	125	125
ERX1226931	125	125	125
ERX1226932	125	125	125
ERX1226933	125	125	125
ERX1226934	125	125	125
ERX1226935	125	125	125
ERX1226936	125	125	125
ERX1226937	125	125	125
ERX1226938	125	125	125
ERX1226939	125	125	125
ERX1226940	125	125	125
ERX1226941	125	125	125
ERX1226942	125	125	125
ERX1226943	125	125	125
ERX1226944	125	125	125
ERX1226945	125	125	125
ERX1226946	125	125	125
ERX1226947	125	125	125
ERX1226948	125	125	125
ERX1226949	125	125	125
ERX1226950	125	125	125
ERX1226951	125	125	125
ERX1226952	125	125	125
ERX1226953	125	125	125
ERX1226954	125	125	125
ERX1226955	125	125	125
ERX1226956	125	125	125
ERX1226957	125	125	125
ERX1226958	125	125	125
ERX1226959	125	125	125
ERX1226960	125	125	125
ERX1226961	125	125	125
ERX1226962	125	125	125
ERX1226963	125	125	125
ERX1226964	125	125	125
ERX1226965	125	125	125
ERX1226966	125	125	125
ERX1226967	125	125	125
ERX1226968	125	125	125
ERX1226969	125	125	125
ERX1226970	125	125	125
ERX1226971	125	125	125
ERX1226972	125	125	125
ERX1226973	125	125	125
ERX1226974	125	125	125
ERX1226975	125	125	125
ERX1226976	125	125	125
ERX1226977	125	125	125
ERX1226978	125	125	125
ERX1226979	125	125	125
ERX1226980	125	125	125
ERX1226981	125	125	125
ERX1226982	125	125	125
ERX1226983	125	125	125
ERX1226984	125	125	125
ERX1226985	125	125	125
ERX1226986	125	125	125
ERX1226987	125	125	125
ERX1226988	125	125	125
ERX1226989	125	125	125
ERX1226990	125	125	125
ERX1226991	125	125	125
ERX1226992	125	125	125
ERX1226993	125	125	125
ERX1226994	125	125	125
ERX1226995	125	125	125
ERX1226996	125	125	125
ERX1226997	125	125	125
ERX1226998	125	125	125
ERX1226999	125	125	125
ERX1227000	125	125	125
ERX1227001	125	125	125
ERX1227002	125	125	125
ERX1227003	125	125	125
ERX1227004	125	125	125
ERX1227005	125	125	125
ERX1227006	125	125	125
ERX1227007	125	125	125
ERX1227008	125	125	125
ERX1227009	125	125	125
ERX1227010	125	125	125
ERX1227011	125	125	125
ERX1227012	125	125	125
ERX1227013	125	125	125
ERX1227014	125	125	125
ERX1227015	125	125	125
ERX1227016	125	125	125
ERX1227017	125	125	125
ERX1227018	125	125	125
ERX1227019	125	125	125
ERX1227020	125	125	125
ERX1227021	125	125	125
ERX1227022	125	125	125
ERX1227023	125	125	125
ERX1227024	125	125	125
ERX1227025	125	125	125
ERX1227026	125	125	125
ERX1227027	125	125	125
ERX1227028	125	125	125
ERX1227029	125	125	125
ERX1227030	125	125	125
ERX1227031	125	125	125
ERX1227032	125	125	125
ERX1227033	125	125	125
ERX1227034	125	125	125
ERX1227035	125	125	125
ERX1227036	125	125	125
ERX1227037	125	125	125
ERX1227038	125	125	125
ERX1227039	125	125	125
ERX1227040	125	125	125
ERX1227041	125	125	125
ERX1227042	125	125	125
ERX1227043	125	125	125
ERX1227044	125	125	125
ERX1227045	125	125	125
ERX1227046	125	125	125
ERX1227047	125	125	125
ERX1227048	125	125	125
ERX1227049	125	125	125
ERX1227050	125	125	125
ERX1227051	125	125	125
ERX1227052	125	125	125
ERX1227053	125	125	125
ERX1227054	125	125	125
ERX1227055	125	125	125
ERX1227056	125	125	125
ERX1227057	125	125	125
ERX1227058	125	125	125
ERX1227059	125	125	125
ERX1227060	125	125	125
