speciesId	genus	species	speciesCommonName	displayOrder	genomeFilePath	genomeVersion	dataSourceId	genomeSpeciesId	fakeGeneIdPrefix	keywords	comment
9606	Homo	sapiens	human	1	homo_sapiens/Homo_sapiens.GRCh38	GRCh38.p5	2	9606		man		
10090	Mus	musculus	mouse	2	mus_musculus/Mus_musculus.GRCm38	GRCm38.p4	2	10090		house mouse|mice	
7955	Danio	rerio	zebrafish	3	danio_rerio/Danio_rerio.GRCz10	GRCz10	2	7955		DANRE|leopard danio|zebra danio	
7227	Drosophila	melanogaster	fruit fly	4	drosophila_melanogaster/Drosophila_melanogaster.BDGP6	BDGP6	2	7227		DROME|vinegar fly|fruitfly	
6239	Caenorhabditis	elegans	nematode	5	caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	WBcel235	2	6239		CAEEL|C. elegans|worm|roundworm	
9598	Pan	troglodytes	chimpanzee	6	pan_troglodytes/Pan_troglodytes.CHIMP2.1.4	CHIMP2.1.4	2	9598		PANTR|chimp	
9597	Pan	paniscus	bonobo	7	pan_troglodytes/Pan_troglodytes.CHIMP2.1.4	CHIMP2.1.4	2	9597		PANPA|pygmy chimpanzee	
9593	Gorilla	gorilla	gorilla	8	gorilla_gorilla/Gorilla_gorilla.gorGor3.1	gorGor3.1	2	9593		western gorilla	
9544	Macaca	mulatta	macaque	9	macaca_mulatta/Macaca_mulatta.MMUL_1	MMUL 1.0	2	9544		MACMU|rhesus monkey|rhesus macaques	
10116	Rattus	norvegicus	rat	10	rattus_norvegicus/Rattus_norvegicus.Rnor_6.0	Rnor_6.0	2	10116		brown rat|Norway rat	
9913	Bos	taurus	cattle	11	bos_taurus/Bos_taurus.UMD3.1	UMD3.1	2	9913		BOVIN|bovine|cow|domestic cow|domestic cattle|bovine cow	
9823	Sus	scrofa	pig	12	sus_scrofa/Sus_scrofa.Sscrofa10.2	Sscrofa10.2	2	9823		domestic pig|swine	
9796	Equus	caballus	horse	13	equus_caballus/Equus_caballus.EquCab2	Equ Cab 2	2	9796		domestic horse|equine	
9986	Oryctolagus	cuniculus	rabbit	14	oryctolagus_cuniculus/Oryctolagus_cuniculus.OryCun2.0	OryCun2.0	2	9986		RABIT	
9615	Canis	lupus familiaris	dog	15	canis_familiaris/Canis_familiaris.CanFam3.1	CanFam3.1	2	9615		CANLF|Canis canis|Canis domesticus	
9685	Felis	catus	cat	16	felis_catus/Felis_catus.Felis_catus_6.2	Felis_catus_6.2	2	9685		FELCA|Felis domesticus|domestic cat	
10141	Cavia	porcellus	guinea pig	17	cavia_porcellus/Cavia_porcellus.cavPor3	cavPor3	2	10141		CAVPO	
9365	Erinaceus	europaeus	hedgehog	18	erinaceus_europaeus/Erinaceus_europaeus.HEDGEHOG	eriEur1	2	9365		ERIEU	
