#Paper	PMID	GSE	Platform	Experiment	Type	GSM	Tissue	Life_stage	Genotype	Species
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000035.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX036881	RNASeq	SRX036881	WBbt:0007833	WBls:0000035	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037732	20980554	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000035.Hermaphrodite.WBbt:0007833.PRJNA51225.SRX026728	RNASeq	SRX026728	WBbt:0007833	WBls:0000035	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000035.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028199	RNASeq	SRX028199	WBbt:0007833	WBls:0000035	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000035.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028203	RNASeq	SRX028203	WBbt:0007833	WBls:0000035	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041549	22991463	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000035.Male.WBbt:0005062.PRJNA174814.SRX185660	RNASeq	SRX185660	WBbt:0005062	WBls:0000035	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000038.Hermaphrodite.WBbt:0007833.PRJNA33023.SRX008144	RNASeq	SRX008144	WBbt:0007833	WBls:0000038	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00035224	19778439	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000038.Hermaphrodite.WBbt:0007833.PRJNA79457.SRX007069	RNASeq	SRX007069	WBbt:0007833	WBls:0000038	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00037948	21177965	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000038.Hermaphrodite.WBbt:0007833.PRJNA128465.SRX028200	RNASeq	SRX028200	WBbt:0007833	WBls:0000038	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00041549	22991463	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000038.Male.WBbt:0005062.PRJNA174814.SRX185661	RNASeq	SRX185661	WBbt:0005062	WBls:0000038	C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00032529	19181841	N.A.	N.A.(RNASeq)	RNASeq.elegans.N2.WBls:0000038.Male.WBbt:0007833.PRJNA33023.SRX050630	RNASeq	SRX050630	WBbt:0007833	WBls:0000038	C. elegans wild isolate.	Caenorhabditis elegans
